time,yaw,pitch,roll,acc x,acc y,acc z
2019-06-26 15:34:46.899353,179.29,-78.92,-0.95,-4045,-59,-843
2019-06-26 15:34:46.919357,179.17,-78.95,-1.08,-4090,-45,-870
2019-06-26 15:34:46.939361,179.05,-78.99,-1.22,-4108,-33,-862
2019-06-26 15:34:46.956365,178.92,-79.03,-1.36,-4117,-28,-868
2019-06-26 15:34:46.977370,178.82,-79.06,-1.49,-4126,-16,-866
2019-06-26 15:34:46.997374,178.70,-79.09,-1.62,-4125,-11,-864
2019-06-26 15:34:47.018379,178.57,-79.12,-1.75,-4120,-5,-856
2019-06-26 15:34:47.038387,178.43,-79.15,-1.88,-4120,2,-870
2019-06-26 15:34:47.058387,178.32,-79.17,-2.00,-4118,10,-859
2019-06-26 15:34:47.078392,178.18,-79.20,-2.12,-4115,21,-869
2019-06-26 15:34:47.099397,178.07,-79.22,-2.24,-4113,30,-866
2019-06-26 15:34:47.119401,177.93,-79.24,-2.36,-4110,51,-884
2019-06-26 15:34:47.136405,177.84,-79.26,-2.47,-4120,53,-901
2019-06-26 15:34:47.157410,177.69,-79.27,-2.59,-4119,52,-919
2019-06-26 15:34:47.177415,177.54,-79.28,-2.71,-4116,60,-896
2019-06-26 15:34:47.198420,177.42,-79.29,-2.82,-4117,62,-893
2019-06-26 15:34:47.218424,177.29,-79.31,-2.93,-4123,74,-902
2019-06-26 15:34:47.238428,177.16,-79.32,-3.04,-4124,81,-900
2019-06-26 15:34:47.258433,177.03,-79.33,-3.14,-4114,97,-904
2019-06-26 15:34:47.279438,176.90,-79.34,-3.25,-4116,102,-903
2019-06-26 15:34:47.296442,176.74,-79.34,-3.35,-4119,109,-928
2019-06-26 15:34:47.317446,176.60,-79.35,-3.45,-4114,122,-921
2019-06-26 15:34:47.337451,176.46,-79.35,-3.55,-4119,125,-925
2019-06-26 15:34:47.357456,176.32,-79.36,-3.65,-4126,129,-922
2019-06-26 15:34:47.378460,176.21,-79.36,-3.75,-4130,137,-922
2019-06-26 15:34:47.398464,176.04,-79.36,-3.84,-4128,144,-930
2019-06-26 15:34:47.418469,175.92,-79.36,-3.94,-4129,163,-931
2019-06-26 15:34:47.439474,175.78,-79.36,-4.03,-4119,162,-925
2019-06-26 15:34:47.459478,175.63,-79.36,-4.12,-4131,173,-927
2019-06-26 15:34:47.476483,175.50,-79.36,-4.21,-4121,180,-926
2019-06-26 15:34:47.497487,175.35,-79.36,-4.30,-4121,176,-956
2019-06-26 15:34:47.517491,175.20,-79.36,-4.38,-4126,185,-947
